Distance_Num,Bill subtotal,Packaging charges,Total,Target_Beli,Status_Transaksi
2.0,879.0,37.95,796.95,1,Sukses (Delivered)
6.0,239.0,6.95,145.95,1,Sukses (Delivered)
6.0,805.0,31.5,661.5,1,Sukses (Delivered)
3.0,659.0,27.35,574.35,1,Sukses (Delivered)
4.0,637.0,25.85,542.85,1,Sukses (Delivered)
3.0,715.0,31.75,666.75,1,Sukses (Delivered)
3.0,1384.0,69.2,1453.2,1,Sukses (Delivered)
3.0,609.0,30.45,639.45,1,Sukses (Delivered)
3.0,584.0,24.2,508.2,1,Sukses (Delivered)
2.0,609.0,30.45,639.45,1,Sukses (Delivered)
2.0,319.0,10.95,229.95,1,Sukses (Delivered)
5.0,498.0,19.95,418.95,1,Sukses (Delivered)
7.0,379.0,18.95,397.95,1,Sukses (Delivered)
1.0,1018.0,36.17,759.5,1,Sukses (Delivered)
7.0,459.0,22.95,481.95,1,Sukses (Delivered)
1.0,479.0,23.95,502.95,1,Sukses (Delivered)
3.0,449.0,22.45,471.45,1,Sukses (Delivered)
5.0,355.0,12.75,267.75,1,Sukses (Delivered)
3.0,665.0,29.25,614.25,1,Sukses (Delivered)
10.0,898.0,44.9,942.9,1,Sukses (Delivered)
8.0,629.0,31.45,660.45,1,Sukses (Delivered)
10.0,535.0,26.75,561.75,1,Sukses (Delivered)
3.0,569.0,34.14,603.14,1,Sukses (Delivered)
1.0,325.0,16.25,341.25,1,Sukses (Delivered)
14.0,1258.0,62.9,1320.9,1,Sukses (Delivered)
10.0,325.0,16.25,341.25,1,Sukses (Delivered)
3.0,599.0,29.95,628.95,1,Sukses (Delivered)
12.0,1651.29,70.18,1473.78,1,Sukses (Delivered)
1.0,528.0,26.4,554.4,1,Sukses (Delivered)
3.0,329.0,16.45,345.45,1,Sukses (Delivered)
7.0,319.0,10.95,229.95,1,Sukses (Delivered)
6.0,355.0,13.75,288.75,1,Sukses (Delivered)
6.0,508.0,25.4,533.4,1,Sukses (Delivered)
2.0,415.0,16.75,351.75,1,Sukses (Delivered)
